Average trade price: 61124.526563, Total volume: 132.716082
Average trade price: 61123.575912, Total volume: 132.003390
Average trade price: 61120.190365, Total volume: 135.202648
Average trade price: 61116.812109, Total volume: 135.047051
Average trade price: 61112.949870, Total volume: 135.837740
Average trade price: 61111.336849, Total volume: 132.415503
Average trade price: 61111.389193, Total volume: 111.481377
Average trade price: 61111.722526, Total volume: 104.072497
Average trade price: 61110.922917, Total volume: 104.181825
Average trade price: 61109.844271, Total volume: 104.857215
Average trade price: 61108.901172, Total volume: 107.941715
Average trade price: 61109.700781, Total volume: 117.179600
Average trade price: 61113.736198, Total volume: 115.736684
Average trade price: 61119.434245, Total volume: 91.174344
Average trade price: 61125.287240, Total volume: 95.635830
Average trade price: 61129.868229, Total volume: 133.044388
Average trade price: 61134.349609, Total volume: 135.986983
Average trade price: 61139.462240, Total volume: 139.687452
Average trade price: 61145.655208, Total volume: 141.140154
Average trade price: 61154.602474, Total volume: 145.096020
Average trade price: 61163.195052, Total volume: 141.991450
Average trade price: 61172.331380, Total volume: 141.944499
Average trade price: 61181.931380, Total volume: 151.317339
Average trade price: 61192.664323, Total volume: 157.385405
Average trade price: 61203.405859, Total volume: 163.874070
Average trade price: 61211.332292, Total volume: 166.035611
Average trade price: 61216.466016, Total volume: 152.672617
Average trade price: 61218.669271, Total volume: 159.690142
Average trade price: 61220.635938, Total volume: 173.398653
Average trade price: 61218.095052, Total volume: 173.256878
Average trade price: 61212.718359, Total volume: 130.851320
Average trade price: 61208.411328, Total volume: 124.739722
Average trade price: 61205.217578, Total volume: 115.366521
Average trade price: 61201.604557, Total volume: 109.547309
Average trade price: 61195.543229, Total volume: 114.146625
Average trade price: 61189.380339, Total volume: 116.530729
Average trade price: 61183.913281, Total volume: 115.033177
Average trade price: 61177.447917, Total volume: 107.173074
Average trade price: 61169.181250, Total volume: 102.482232
Average trade price: 61161.849089, Total volume: 96.948326
Average trade price: 61156.716146, Total volume: 95.573099
Average trade price: 61151.932422, Total volume: 109.082538
Average trade price: 61146.798828, Total volume: 107.195047
Average trade price: 61141.487500, Total volume: 93.460913
Average trade price: 61138.277995, Total volume: 79.664681
Average trade price: 61138.960677, Total volume: 114.639705
Average trade price: 61144.391927, Total volume: 179.386393
Average trade price: 61148.658594, Total volume: 186.752378
Average trade price: 61154.208203, Total volume: 191.746290
Average trade price: 61161.184896, Total volume: 182.403335
Average trade price: 61168.667839, Total volume: 197.767363
Average trade price: 61176.671224, Total volume: 230.156221
Average trade price: 61182.936589, Total volume: 231.145123
Average trade price: 61191.269531, Total volume: 247.118163
Average trade price: 61202.802474, Total volume: 319.892871
Average trade price: 61213.658724, Total volume: 318.313393
Average trade price: 61223.965755, Total volume: 309.342958
Average trade price: 61235.533464, Total volume: 325.227829
Average trade price: 61250.678385, Total volume: 333.807517
Average trade price: 61267.565755, Total volume: 336.475534
Average trade price: 61279.300130, Total volume: 301.305184
Average trade price: 61285.722135, Total volume: 237.382080
Average trade price: 61291.438542, Total volume: 240.681582
Average trade price: 61296.295573, Total volume: 242.497792
Average trade price: 61296.739453, Total volume: 282.093150
Average trade price: 61293.779167, Total volume: 276.634075
Average trade price: 61289.845443, Total volume: 242.587228
Average trade price: 61288.146094, Total volume: 241.541151
Average trade price: 61285.813151, Total volume: 224.744911
Average trade price: 61282.079427, Total volume: 149.236751
Average trade price: 61280.039844, Total volume: 149.294784
Average trade price: 61280.315104, Total volume: 146.245092
Average trade price: 61278.814323, Total volume: 124.283508
Average trade price: 61272.610417, Total volume: 114.593904
Average trade price: 61267.456771, Total volume: 112.023832
Average trade price: 61265.410677, Total volume: 114.933508
Average trade price: 61264.822396, Total volume: 121.733039
Average trade price: 61266.972656, Total volume: 111.298072
Average trade price: 61270.455078, Total volume: 121.135463
Average trade price: 61276.010156, Total volume: 83.108268
Average trade price: 61285.386458, Total volume: 71.264775
Average trade price: 61294.450130, Total volume: 72.825305
Average trade price: 61304.415104, Total volume: 77.231936
Average trade price: 61316.881380, Total volume: 109.906817
Average trade price: 61330.681771, Total volume: 109.680413
Average trade price: 61344.432682, Total volume: 110.006088
Average trade price: 61357.339713, Total volume: 110.989008
Average trade price: 61368.939713, Total volume: 118.497400
Average trade price: 61378.925000, Total volume: 152.220759
Average trade price: 61386.254557, Total volume: 162.986737
Average trade price: 61392.167318, Total volume: 161.026495
Average trade price: 61399.230599, Total volume: 197.460585
Average trade price: 61401.697656, Total volume: 226.493213
Average trade price: 61403.567578, Total volume: 213.047530
Average trade price: 61406.510937, Total volume: 253.963164
Average trade price: 61407.511589, Total volume: 262.239749
Average trade price: 61409.709635, Total volume: 268.936666
Average trade price: 61410.816406, Total volume: 272.619569
Average trade price: 61410.351432, Total volume: 259.179798
Average trade price: 61405.085807, Total volume: 261.851505
Average trade price: 61398.716146, Total volume: 262.561963
Average trade price: 61390.526823, Total volume: 260.317676
Average trade price: 61384.530599, Total volume: 251.947933
Average trade price: 61381.339193, Total volume: 229.074358
Average trade price: 61379.476302, Total volume: 221.096013
Average trade price: 61375.209635, Total volume: 222.273304
