Starting Price: 60649.640625, Ending Price: 60701.988281, Highest Price: 60720.000000, Lowest Price: 60649.640625, Total Volume: 10.363607
Starting Price: 60701.988281, Ending Price: 60600.019531, Highest Price: 60701.988281, Lowest Price: 60599.910156, Total Volume: 67.354385
Starting Price: 60600.019531, Ending Price: 60568.000000, Highest Price: 60600.019531, Lowest Price: 60552.191406, Total Volume: 17.329372
Starting Price: 60568.000000, Ending Price: 60596.011719, Highest Price: 60620.000000, Lowest Price: 60567.988281, Total Volume: 20.157995
Starting Price: 60596.019531, Ending Price: 60558.000000, Highest Price: 60630.000000, Lowest Price: 60558.000000, Total Volume: 10.282638
Starting Price: 60558.000000, Ending Price: 60699.988281, Highest Price: 60700.000000, Lowest Price: 60558.000000, Total Volume: 22.229984
Starting Price: 60700.000000, Ending Price: 60779.988281, Highest Price: 60787.878906, Lowest Price: 60699.988281, Total Volume: 24.292627
Starting Price: 60780.000000, Ending Price: 60743.550781, Highest Price: 60785.789062, Lowest Price: 60728.019531, Total Volume: 8.274570
Starting Price: 60743.539062, Ending Price: 60779.148438, Highest Price: 60780.000000, Lowest Price: 60728.000000, Total Volume: 8.941139
Starting Price: 60779.148438, Ending Price: 60770.000000, Highest Price: 60832.000000, Lowest Price: 60763.121094, Total Volume: 16.022251
Starting Price: 60770.000000, Ending Price: 60838.671875, Highest Price: 60838.671875, Lowest Price: 60770.000000, Total Volume: 35.731163
Starting Price: 60893.898438, Ending Price: 60891.988281, Highest Price: 60893.988281, Lowest Price: 60884.488281, Total Volume: 1.246330
Starting Price: 60892.000000, Ending Price: 60982.000000, Highest Price: 60987.988281, Lowest Price: 60885.300781, Total Volume: 51.270847
Starting Price: 60982.000000, Ending Price: 60909.359375, Highest Price: 60991.031250, Lowest Price: 60896.300781, Total Volume: 34.736908
Starting Price: 60909.351562, Ending Price: 60898.890625, Highest Price: 60936.000000, Lowest Price: 60885.539062, Total Volume: 32.980713
Starting Price: 61048.000000, Ending Price: 61048.000000, Highest Price: 61048.628906, Lowest Price: 61048.000000, Total Volume: 0.335230
Starting Price: 61048.000000, Ending Price: 60988.839844, Highest Price: 61048.000000, Lowest Price: 60930.000000, Total Volume: 77.785759
Starting Price: 60988.828125, Ending Price: 61069.828125, Highest Price: 61084.000000, Lowest Price: 60986.578125, Total Volume: 121.316460
Starting Price: 61069.828125, Ending Price: 61009.359375, Highest Price: 61105.000000, Lowest Price: 61009.359375, Total Volume: 50.472977
Starting Price: 61009.371094, Ending Price: 61062.179688, Highest Price: 61096.000000, Lowest Price: 61009.371094, Total Volume: 18.210958
Starting Price: 61062.171875, Ending Price: 61000.000000, Highest Price: 61100.000000, Lowest Price: 60966.019531, Total Volume: 38.270325
Starting Price: 61000.000000, Ending Price: 60966.000000, Highest Price: 61000.000000, Lowest Price: 60942.000000, Total Volume: 57.262997
Starting Price: 60966.000000, Ending Price: 60874.011719, Highest Price: 60999.988281, Lowest Price: 60864.660156, Total Volume: 132.306030
Starting Price: 60874.011719, Ending Price: 60880.011719, Highest Price: 60900.000000, Lowest Price: 60874.000000, Total Volume: 17.870615
Starting Price: 60880.011719, Ending Price: 60996.000000, Highest Price: 60996.000000, Lowest Price: 60880.011719, Total Volume: 25.682316
Starting Price: 60996.000000, Ending Price: 60988.011719, Highest Price: 61004.000000, Lowest Price: 60952.000000, Total Volume: 13.000284
Starting Price: 60988.011719, Ending Price: 61078.000000, Highest Price: 61078.000000, Lowest Price: 60964.000000, Total Volume: 28.051468
Starting Price: 61077.988281, Ending Price: 61032.000000, Highest Price: 61078.000000, Lowest Price: 61032.000000, Total Volume: 16.150227
Starting Price: 61032.000000, Ending Price: 61026.000000, Highest Price: 61032.000000, Lowest Price: 60952.500000, Total Volume: 11.657616
Starting Price: 61025.988281, Ending Price: 60994.000000, Highest Price: 61025.988281, Lowest Price: 60985.820312, Total Volume: 12.204239
Starting Price: 60994.000000, Ending Price: 60969.109375, Highest Price: 61016.828125, Lowest Price: 60952.000000, Total Volume: 12.983461
Starting Price: 60969.109375, Ending Price: 60955.988281, Highest Price: 60976.000000, Lowest Price: 60940.738281, Total Volume: 10.647637
Starting Price: 60956.000000, Ending Price: 60934.011719, Highest Price: 60975.988281, Lowest Price: 60934.000000, Total Volume: 5.734399
