Starting Price: 184.934998, Ending Price: 184.920105, Highest Price: 184.949997, Lowest Price: 184.919998, Total Volume: 711.000000
Starting Price: 184.929993, Ending Price: 184.940002, Highest Price: 184.990005, Lowest Price: 184.880005, Total Volume: 88.000000
Starting Price: 184.990005, Ending Price: 184.920395, Highest Price: 184.990005, Lowest Price: 184.920395, Total Volume: 440.000000
Starting Price: 184.990005, Ending Price: 184.899994, Highest Price: 184.990005, Lowest Price: 184.899994, Total Volume: 436.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
