Average trade price: 0.000000, Total volume: 0.000000
Average trade price: 0.000000, Total volume: 0.000000
Average trade price: 0.000000, Total volume: 0.000000
Average trade price: 0.000000, Total volume: 0.000000
Average trade price: 225.805001, Total volume: 1139.000000
Average trade price: 225.817498, Total volume: 1328.000000
Average trade price: 225.851664, Total volume: 2716.000000
Average trade price: 225.874998, Total volume: 3113.000000
Average trade price: 225.884000, Total volume: 3995.000000
Average trade price: 225.904167, Total volume: 4298.000000
Average trade price: 225.909286, Total volume: 5158.000000
Average trade price: 225.915625, Total volume: 5468.000000
Average trade price: 225.920556, Total volume: 7470.000000
Average trade price: 225.920000, Total volume: 8132.000000
Average trade price: 225.920454, Total volume: 8840.000000
Average trade price: 225.925000, Total volume: 9110.000000
Average trade price: 225.927693, Total volume: 9181.000000
Average trade price: 225.932144, Total volume: 9401.000000
Average trade price: 225.935334, Total volume: 9456.000000
Average trade price: 225.944334, Total volume: 8468.000000
Average trade price: 225.952334, Total volume: 9130.000000
Average trade price: 225.955668, Total volume: 7778.000000
Average trade price: 225.956430, Total volume: 7381.000000
Average trade price: 225.959231, Total volume: 6499.000000
Average trade price: 225.957308, Total volume: 6198.000000
Average trade price: 225.958750, Total volume: 5338.000000
Average trade price: 225.959583, Total volume: 5082.000000
Average trade price: 225.960417, Total volume: 3721.000000
Average trade price: 225.965418, Total volume: 3384.000000
Average trade price: 225.971668, Total volume: 2805.000000
Average trade price: 225.972084, Total volume: 3815.000000
Average trade price: 225.974584, Total volume: 5028.000000
Average trade price: 225.975000, Total volume: 4878.000000
Average trade price: 225.976666, Total volume: 5194.000000
Average trade price: 225.980000, Total volume: 6920.000000
Average trade price: 225.981667, Total volume: 6169.000000
Average trade price: 225.974167, Total volume: 6896.000000
Average trade price: 225.959615, Total volume: 7801.000000
Average trade price: 225.946071, Total volume: 8126.000000
Average trade price: 225.928214, Total volume: 8125.000000
